index,1W,2W,3W,4W
2018-27,4.0,4.0,4.0,4.0
2018-28,8.0,,,
2018-29,9.0,13.0,,
2018-30,4.0,,13.0,
2018-31,3.0,5.0,,14.0
2018-32,0.0,,,
2018-33,0.0,0.0,3.0,
2018-34,3.0,,,
2018-35,7.0,9.0,,9.0
2018-36,7.0,,12.0,
2018-37,18.0,19.0,,
2018-38,14.0,,,
2018-39,16.0,19.0,22.0,23.0
2018-40,18.0,,,
2018-41,18.0,23.0,,
2018-42,17.0,,23.0,
2018-43,15.0,20.0,,24.0
2018-44,3.0,,,
2018-45,14.0,15.0,22.0,
2018-46,14.0,,,
2018-47,15.0,22.0,,24.0
2018-48,14.0,,25.0,
2018-49,17.0,21.0,,
2018-50,19.0,,,
2018-51,14.0,25.0,25.0,26.0
